'JSP400.ternaryForm_indefinite' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.ternaryForm_nondegenerate' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.ternaryForm_not_proportionalToRational' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.dual_statement_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.approximation_large_denominator' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.small_values_iff_approximation' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.standardForm_standardizingSL' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.standardizingSL_conjugates' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.unipotentOne_add' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.unipotentTwo_add' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.unipotentOne_commute_unipotentTwo' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.unipotentOne_mem_standardStabilizer' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.unipotentTwo_mem_standardStabilizer_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.diagonalFlow_mem_standardStabilizer' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.diagonalFlow_unipotentOne' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.diagonalFlow_unipotentTwo' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.ternaryForm_abs_le_norm' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.ternaryForm_integer_ne_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.small_values_of_short_vectors' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.integerGamma_isClosed' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.quotientLatticePoints_smul' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.quotientLatticePoints_injective' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.exists_minimal_closed_invariant' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.minimal_invariant_orbit_closure' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.integerVector_norm_ge_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.matrix_mulVec_norm_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.compact_representatives_lower_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.compact_lift_of_open_quotient' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.compact_lattice_representatives' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.compact_lattices_lower_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.compact_lattice_stabilizers_discrete' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.small_stabilizers_escape_compacts' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.conjugating_stabilizer_escapes_compacts' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.contractingDiagonal_upper_tendsto_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.upper_stabilizer_trivial_of_compact_diagonal_orbit' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.upper_subgroup_stabilizer_inf_eq_bot' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.upper_subgroup_not_isCompact' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.upper_stabilizer_quotient_not_compact' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.shearLevelSet_component_not_isCompact' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.shearConjugate_has_continuous_leftInverse' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.shearConjugate_isClosedEmbedding' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.shearOrbitSlice_component_not_isCompact' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.nilpotent_upperTriangular_diag_eq_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.margulis_lemma6_C' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.matrix3_isNilpotent_iff_cube' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.isClosed_nilpotentMatrices' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.shear_fixed_iff_mem_lieAlgebra' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.shear_lieAlgebra_slice_eq_line' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.shearConjugate_isNilpotent' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.matrix_smul_isNilpotent' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.closure_shear_orbits_nilpotent' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.preconnected_compact_limit' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.compact_limit_meets_closed' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.compact_limit_contains_point' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.exists_connected_compact_limit' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.compact_subsequence_limit_subset_upperSetLimit' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.exists_unbounded_shear_parameter_curve' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.exists_unbounded_shear_curve' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.noncompact_real_connected_contains_ray' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.shear_fixed_line_contains_ray' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.continuousAt_shearNormalize' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.mem_closure_normalizedShearSet' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.normalizedShearSet_properties' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.shearConjugate_recover_from_normalization' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.isClosed_upperSetLimit' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.upperSetLimit_subset_of_eventually_subset_closed' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.upperSetLimit_subset_continuous_fiber' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.upperSetLimit_contains_limit_point' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.unbounded_curve_compact_segment' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.upper_limit_connected_witness' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.upper_limit_component_not_compact' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.compact_connected_boundary_bumping' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.compact_connected_set_boundary_bumping' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.upper_limit_fixed_component_boundary' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.shearFlag_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.mem_shearFlag_two' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.mem_shearFlag_eight' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.shearConjugate_sub_mem_previousFlag' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.isClosed_shearFlag' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.shearFlag_step_coordinate_invariant' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.shearConjugate_comp' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.closure_shearOrbitUnion_invariant' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.closure_shearOrbitUnion_nilpotent' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.upper_limit_shear_slices_previousFlag' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.shear_fixed_component_noncompact_of_layer' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.margulis_lemma6_B2' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.missing_point_local_normalization' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.margulis_lemma6_B1' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.adjointAction_base_eq_iff_mem_shearGroup' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.mem_normalizer_of_adjoint_base_mem_lie' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.margulis_lemma6_A2' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.nilpotentFrame_intertwines' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.continuous_nilpotentSection' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.nilpotentSection_conjugates' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.nilpotentSection_fixedLine' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.fixedLine_closure_lifts_to_shearDoubleOrbit' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.closure_shearDoubleOrbit_mul_right' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.upperUnipotent_mem_closure_of_fixedLine' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.generated_upper_inter_eq_of_half' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.margulis_lemma6_A' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.margulis_lemma6' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.lattice_has_nonzero_last_coordinate' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.upper_eliminate_first_coordinates' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.diagonal_after_elimination_makes_vector_short' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.diagonal_upper_makes_vector_short' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.diagonalUpperOrbit_not_relatively_compact' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.shear_eliminate_first_coordinates' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.margulis_lemma10' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.margulis_lemma11' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.positiveShearOrbit_not_relatively_compact' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.negativeShearOrbit_not_relatively_compact' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.isClosed_hittingSet' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.normalizer_minimal_hit_subset' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.margulis_lemma1' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.margulis_lemma2' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.margulis_lemma3' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.gramShear_coordinates' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.gramShear_sub_mem_previousFlag' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.mem_gramFlag_two' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.gramFixed_of_det_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.isClosed_gramFlag' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.gramShear_has_linear_coordinate' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.exists_unbounded_gram_curve' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.gram_fixed_component_noncompact_of_layer' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.gram_orbit_closure_contains_ray' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.gramMatrix_eq_standard_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.gramMatrix_eq_iff_mul_inv_mem' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.lemma7_fixed_case' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.GramSection.triangularFactor_congruence' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.GramSection.triangularFactor_det_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.GramSection.continuousAt_triangularFactor' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.GramSection.isOpen_sectionDomain' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.GramSection.continuous_gramSection' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.GramSection.gramSection_standardGram' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.GramSection.gramMatrix_gramSection' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.mem_closure_of_gramMatrix_mem_closure' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.margulis_lemma7' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.unipotentOne_inv' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.unipotentOne_eq_shearElement' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.principalUnipotent_eq_inf' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.coadjointForm_standard' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.principalOrbitMap_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.coadjointForm_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.principalAction_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.continuous_principalAction' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.continuous_principalOrbitMap' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.principalOrbitMap_eq_base_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.principalAction_injective' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.principalOrbitMap_eq_iff_inv_mul_mem' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.principalBase_skew' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.adjoint_coadjoint_skew' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.principalOrbitMap_skew' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.unipotentOne_matrix_polynomial' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.adjointAction_add' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.adjointAction_smul' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.adjointAction_matrix_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.conjugate_unipotentOne_of_adjoint_base' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.mem_principalNormalizer_of_adjoint_base' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.principal_adjoint_fixed_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.gramShear_fixed_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.coadjointForm_unipotentOne' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.mem_principalNormalizer_of_fixed_orbit' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.principalCoordinates_add' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.principalCoordinates_sub' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.principalCoordinates_smul' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.mem_principalFlag' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.principalFlag_mono' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.mem_principalFlag_fourteen' depends on axioms: [propext, Classical.choice, Quot.sound]
